Time [s],Value,Parity Error,Framing Error
2.047982,0x5A,,
2.048078,0xFF,,
2.048799,0x06,,
2.048894,0xA1,,
2.04899,0xFF,,
2.049085,0xFF,,
2.049181,0x5A,,
2.049276,0xFD,,
2.055492,0x04,,
2.055588,0xA2,,
2.055683,0x59,,
2.055779,0xFF,,
2.056491,0x06,,
2.056586,0xA2,,
2.056681,0x00,,
2.056776,0x00,,
2.056871,0x57,,
2.056966,0xFF,,
2.063193,0x04,,
2.063289,0xA1,,
2.063384,0x5A,,
2.06348,0xFF,,
2.064204,0x06,,
2.064299,0xA1,,
2.064395,0xFF,,
2.06449,0xFF,,
2.064586,0x5A,,
2.064681,0xFD,,
2.070894,0x04,,
2.070989,0xA2,,
2.071085,0x59,,
2.071181,0xFF,,
2.071894,0x06,,
2.071989,0xA2,,
2.072084,0x00,,
2.072179,0x00,,
2.072274,0x57,,
2.072368,0xFF,,
2.078595,0x04,,
2.07869,0xA1,,
2.078786,0x5A,,
2.078881,0xFF,,
2.079601,0x06,,
2.079697,0xA1,,
2.079792,0xFF,,
2.079888,0xFF,,
2.079983,0x5A,,
2.080079,0xFD,,
2.086296,0x04,,
2.086391,0xA2,,
2.086487,0x59,,
2.086582,0xFF,,
2.087296,0x06,,
2.087391,0xA2,,
2.087486,0x00,,
2.087581,0x00,,
2.087675,0x57,,
2.08777,0xFF,,
2.093996,0x04,,
2.094092,0xA1,,
2.094188,0x5A,,
2.094283,0xFF,,
2.095007,0x06,,
2.095102,0xA1,,
2.095198,0xFF,,
2.095293,0xFF,,
2.095389,0x5A,,
2.095484,0xFD,,
2.101697,0x04,,
2.101793,0xA2,,
2.101888,0x59,,
2.101984,0xFF,,
2.102698,0x06,,
2.102793,0xA2,,
2.102888,0x00,,
2.102983,0x00,,
2.103077,0x57,,
2.103172,0xFF,,
2.109398,0x04,,
2.109494,0xA1,,
2.109589,0x5A,,
2.109685,0xFF,,
2.110407,0x06,,
2.110502,0xA1,,
2.110598,0xFF,,
2.110693,0xFF,,
2.110789,0x5A,,
2.110884,0xFD,,
2.117099,0x04,,
2.117195,0xA2,,
2.11729,0x59,,
2.117386,0xFF,,
2.118101,0x06,,
2.118196,0xA2,,
2.118291,0x00,,
2.118386,0x00,,
2.118481,0x57,,
2.118576,0xFF,,
2.1248,0x04,,
2.124895,0xA1,,
2.124991,0x5A,,
2.125087,0xFF,,
2.125806,0x06,,
2.125901,0xA1,,
2.125997,0xFF,,
2.126092,0xFF,,
2.126188,0x5A,,
2.126283,0xFD,,
2.132501,0x04,,
2.132596,0xA2,,
2.132692,0x59,,
2.132787,0xFF,,
2.133507,0x06,,
2.133602,0xA2,,
2.133697,0x00,,
2.133792,0x00,,
2.133887,0x57,,
2.133982,0xFF,,
2.140202,0x04,,
2.140297,0xA1,,
2.140393,0x5A,,
2.140488,0xFF,,
2.141211,0x06,,
2.141306,0xA1,,
2.141402,0xFF,,
2.141497,0xFF,,
2.141593,0x5A,,
2.141688,0xFD,,
2.147902,0x04,,
2.147998,0x83,,
2.148094,0x78,,
2.148189,0xFF,,
2.155603,0x04,,
2.155699,0xA1,,
2.155794,0x5A,,
2.15589,0xFF,,
2.156614,0x06,,
2.15671,0xA1,,
2.156805,0xFF,,
2.156901,0xFF,,
2.156996,0x5A,,
2.157092,0xFD,,
2.163304,0x04,,
2.1634,0xA2,,
2.163495,0x59,,
2.163591,0xFF,,
2.164305,0x06,,
2.1644,0xA2,,
2.164495,0x00,,
2.16459,0x00,,
2.164684,0x57,,
2.164779,0xFF,,
2.171005,0x04,,
2.171101,0xA1,,
2.171196,0x5A,,
2.171292,0xFF,,
2.172012,0x06,,
2.172107,0xA1,,
2.172203,0xFF,,
2.172298,0xFF,,
2.172394,0x5A,,
2.172489,0xFD,,
2.178706,0x04,,
2.178801,0xA2,,
2.178897,0x59,,
2.178993,0xFF,,
2.179704,0x06,,
2.179799,0xA2,,
2.179894,0x00,,
2.179989,0x00,,
2.180083,0x57,,
2.180178,0xFF,,
2.186407,0x04,,
2.186502,0xA1,,
2.186598,0x5A,,
2.186693,0xFF,,
2.187412,0x06,,
2.187507,0xA1,,
2.187603,0xFF,,
2.187698,0xFF,,
2.187794,0x5A,,
2.187889,0xFD,,
2.194108,0x04,,
2.194203,0xA2,,
2.194299,0x59,,
2.194394,0xFF,,
2.195114,0x06,,
2.195209,0xA2,,
2.195304,0x00,,
2.195399,0x00,,
2.195494,0x57,,
2.195589,0xFF,,
2.201808,0x04,,
2.201904,0xA1,,
2.202,0x5A,,
2.202095,0xFF,,
2.202817,0x06,,
2.202912,0xA1,,
2.203008,0xFF,,
2.203103,0xFF,,
2.203199,0x5A,,
2.203294,0xFD,,
2.209509,0x04,,
2.209605,0xA2,,
2.2097,0x59,,
2.209796,0xFF,,
2.21051,0x06,,
2.210605,0xA2,,
2.2107,0x00,,
2.210795,0x00,,
2.21089,0x57,,
2.210984,0xFF,,
2.21721,0x04,,
2.217306,0xA1,,
2.217401,0x5A,,
2.217497,0xFF,,
2.218216,0x06,,
2.218311,0xA1,,
2.218407,0xFF,,
2.218502,0xFF,,
2.218598,0x5A,,
2.218694,0xFD,,
2.224911,0x04,,
2.225006,0xA2,,
2.225102,0x59,,
2.225198,0xFF,,
2.225915,0x06,,
2.22601,0xA2,,
2.226104,0x00,,
2.226199,0x00,,
2.226294,0x57,,
2.226389,0xFF,,
2.232612,0x04,,
2.232707,0xA1,,
