Time [s],Value,Parity Error,Framing Error
6.8377,0xFF,,
6.837796,0x5A,,
6.837891,0xFD,,
6.844106,0x04,,
6.844201,0xA1,,
6.844297,0x5A,,
6.844392,0xFF,,
6.851807,0x04,,
6.851902,0xA2,,
6.851998,0x59,,
6.852093,0xFF,,
6.852813,0x06,,
6.852908,0xA2,,
6.853004,0xFE,,
6.853099,0xFF,,
6.853195,0x5A,,
6.85329,0xFD,,
6.859507,0x04,,
6.859603,0xA1,,
6.859699,0x5A,,
6.859794,0xFF,,
6.867208,0x04,,
6.867304,0xA2,,
6.867399,0x59,,
6.867495,0xFF,,
6.868218,0x06,,
6.868313,0xA2,,
6.868409,0xFE,,
6.868504,0xFF,,
6.8686,0x5A,,
6.868695,0xFD,,
6.874909,0x04,,
6.875005,0xA1,,
6.8751,0x5A,,
6.875196,0xFF,,
6.88261,0x04,,
6.882706,0xA2,,
6.882801,0x59,,
6.882897,0xFF,,
6.883622,0x06,,
6.883718,0xA2,,
6.883813,0xFE,,
6.883909,0xFF,,
6.884004,0x5A,,
6.8841,0xFD,,
6.890311,0x04,,
6.890406,0xA1,,
6.890502,0x5A,,
6.890598,0xFF,,
6.898012,0x04,,
6.898107,0xA2,,
6.898203,0x59,,
6.898298,0xFF,,
6.899021,0x06,,
6.899117,0xA2,,
6.899212,0xFE,,
6.899308,0xFF,,
6.899403,0x5A,,
6.899499,0xFD,,
6.905713,0x04,,
6.905808,0xA1,,
6.905904,0x5A,,
6.905999,0xFF,,
6.913413,0x04,,
6.913509,0xA2,,
6.913605,0x59,,
6.9137,0xFF,,
6.91442,0x06,,
6.914516,0xA2,,
6.914611,0xFE,,
6.914707,0xFF,,
6.914802,0x5A,,
6.914898,0xFD,,
6.921114,0x04,,
6.92121,0xA1,,
6.921305,0x5A,,
6.921401,0xFF,,
6.928814,0x04,,
6.92891,0xA2,,
6.929005,0x59,,
6.929101,0xFF,,
6.929826,0x06,,
6.929921,0xA2,,
6.930017,0xFE,,
6.930112,0xFF,,
6.930208,0x5A,,
6.930303,0xFD,,
6.936515,0x04,,
6.936611,0xA1,,
6.936706,0x5A,,
6.936802,0xFF,,
6.944216,0x04,,
6.944311,0xA2,,
6.944407,0x59,,
6.944503,0xFF,,
6.945224,0x06,,
6.94532,0xA2,,
6.945415,0xFE,,
6.945511,0xFF,,
6.945606,0x5A,,
6.945702,0xFD,,
6.951918,0x04,,
6.952013,0xA1,,
6.952109,0x5A,,
6.952204,0xFF,,
6.959619,0x04,,
6.959714,0xA2,,
6.95981,0x59,,
6.959905,0xFF,,
6.960623,0x06,,
6.960719,0xA2,,
6.960814,0xFE,,
6.96091,0xFF,,
6.961005,0x5A,,
6.961101,0xFD,,
6.967318,0x04,,
6.967414,0x83,,
6.96751,0x78,,
6.967605,0xFF,,
6.975019,0x04,,
6.975115,0xA1,,
6.97521,0x5A,,
6.975306,0xFF,,
6.98272,0x04,,
6.982816,0xA2,,
6.982911,0x59,,
6.983007,0xFF,,
6.983726,0x06,,
6.983821,0xA2,,
6.983917,0xFF,,
6.984013,0xFF,,
6.984108,0x59,,
6.984204,0xFD,,
6.990421,0x04,,
6.990517,0xA1,,
6.990612,0x5A,,
6.990708,0xFF,,
6.998122,0x04,,
6.998217,0xA2,,
6.998313,0x59,,
6.998409,0xFF,,
6.999131,0x06,,
6.999227,0xA2,,
6.999322,0xFF,,
6.999418,0xFF,,
6.999513,0x59,,
6.999609,0xFD,,
7.005823,0x04,,
7.005918,0xA1,,
7.006014,0x5A,,
7.006109,0xFF,,
7.013524,0x04,,
7.013619,0xA2,,
7.013715,0x59,,
7.01381,0xFF,,
7.014539,0x06,,
7.014634,0xA2,,
7.01473,0xFF,,
7.014825,0xFF,,
7.014921,0x59,,
7.015016,0xFD,,
7.021224,0x04,,
7.02132,0xA1,,
7.021416,0x5A,,
7.021511,0xFF,,
7.028925,0x04,,
7.029021,0xA2,,
7.029116,0x59,,
7.029212,0xFF,,
7.02993,0x06,,
7.030026,0xA2,,
7.030121,0xFF,,
7.030217,0xFF,,
7.030312,0x59,,
7.030408,0xFD,,
7.036626,0x04,,
7.036722,0xA1,,
7.036817,0x5A,,
7.036913,0xFF,,
7.044327,0x04,,
7.044423,0xA2,,
7.044518,0x59,,
7.044614,0xFF,,
7.045335,0x06,,
7.045431,0xA2,,
7.045526,0xFF,,
7.045622,0xFF,,
7.045717,0x59,,
7.045813,0xFD,,
7.052028,0x04,,
7.052123,0xA1,,
7.052219,0x5A,,
7.052315,0xFF,,
7.059729,0x04,,
7.059824,0xA2,,
7.05992,0x59,,
7.060015,0xFF,,
7.060734,0x06,,
7.06083,0xA2,,
7.060925,0xFF,,
7.061021,0xFF,,
7.061116,0x59,,
7.061212,0xFD,,
7.06743,0x04,,
7.067525,0xA1,,
7.067621,0x5A,,
7.067716,0xFF,,
7.07513,0x04,,
7.075226,0xA2,,
7.075322,0x59,,
7.075417,0xFF,,
7.076142,0x06,,
7.076237,0xA2,,
7.076333,0xFF,,
7.076428,0xFF,,
7.076524,0x59,,
7.076619,0xFD,,
7.082831,0x04,,
7.082927,0xA1,,
7.083022,0x5A,,
7.083118,0xFF,,
7.090532,0x04,,
7.090628,0xA2,,
7.090723,0x59,,
7.090819,0xFF,,
7.091539,0x06,,
7.091635,0xA2,,
7.09173,0xFF,,
7.091826,0xFF,,
7.091921,0x59,,
7.092017,0xFD,,
7.098233,0x04,,
7.098329,0xA1,,
7.098424,0x5A,,
7.09852,0xFF,,
7.105934,0x04,,
7.106029,0xA2,,
7.106125,0x59,,
7.106221,0xFF,,
7.106938,0x06,,
7.107034,0xA2,,
7.107129,0xFF,,
7.107225,0xFF,,
7.107321,0x59,,
7.107416,0xFD,,
7.113635,0x04,,
7.11373,0xA1,,
7.113826,0x5A,,
7.113921,0xFF,,
7.121336,0x04,,
7.121431,0xA2,,
7.121527,0x59,,
7.121622,0xFF,,
7.122344,0x06,,
7.122439,0xA2,,
7.122535,0xFF,,
7.12263,0xFF,,
7.122726,0x59,,
7.122821,0xFD,,
7.129035,0x04,,
7.129131,0xFD,,
7.1293,0xFF,,
7.136736,0x04,,
7.136832,0xA2,,
7.136927,0x59,,
7.137023,0xFF,,
7.13775,0x06,,
7.137845,0xA2,,
7.137941,0xFF,,
7.138036,0xFF,,
7.138132,0x59,,
7.138227,0xFD,,
7.144437,0x04,,
7.144533,0xA1,,
7.144628,0x5A,,
7.144724,0xFF,,
7.152138,0x04,,
7.152234,0xA2,,
7.152329,0x59,,
7.152425,0xFF,,
7.153147,0x06,,
7.153243,0xA2,,
7.153338,0xFF,,
7.153434,0xFF,,
7.153529,0x59,,
7.153625,0xFD,,
7.159839,0x04,,
7.159934,0xA1,,
7.16003,0x5A,,
7.160126,0xFF,,
7.16754,0x04,,
7.167635,0xA2,,
7.167731,0x59,,
7.167826,0xFF,,
7.168546,0x06,,
7.168642,0xA2,,
7.168737,0xFF,,
7.168833,0xFF,,
7.168928,0x59,,
7.169024,0xFD,,
7.175241,0x04,,
7.175336,0xA1,,
7.175432,0x5A,,
7.175527,0xFF,,
7.182941,0x04,,
7.183037,0xA2,,
7.183133,0x59,,
7.183228,0xFF,,
7.183951,0x06,,
7.184047,0xA2,,
7.184142,0xFF,,
7.184238,0xFF,,
7.184333,0x59,,
7.184429,0xFD,,
7.190642,0x04,,
7.190738,0xA1,,
7.190833,0x5A,,
7.190929,0xFF,,
7.198343,0x04,,
7.198439,0xA2,,
7.198534,0x59,,
7.19863,0xFF,,
7.199351,0x06,,
7.199447,0xA2,,
7.199542,0xFF,,
7.199638,0xFF,,
7.199733,0x59,,
7.199829,0xFD,,
7.206044,0x04,,
7.20614,0xA1,,
7.206235,0x5A,,
7.206331,0xFF,,
7.213745,0x04,,
7.21384,0xA2,,
7.213936,0x59,,
7.214032,0xFF,,
7.214756,0x06,,
7.214852,0xA2,,
7.214947,0xFF,,
7.215043,0xFF,,
7.215138,0x59,,
7.215234,0xFD,,
7.221446,0x04,,
7.221541,0xA1,,
7.221637,0x5A,,
7.221732,0xFF,,
7.229147,0x04,,
7.229242,0xA2,,
7.229338,0x59,,
7.229433,0xFF,,
7.230154,0x06,,
7.230249,0xA2,,
7.230345,0xFF,,
7.23044,0xFF,,
7.230536,0x59,,
7.230632,0xFD,,
7.236846,0x04,,
7.236942,0xA1,,
7.237038,0x5A,,
7.237133,0xFF,,
7.244547,0x04,,
7.244643,0xA2,,
7.244738,0x59,,
7.244834,0xFF,,
7.245553,0x06,,
7.245649,0xA2,,
7.245744,0xFF,,
7.24584,0xFF,,
7.245935,0x59,,
7.246031,0xFD,,
7.252248,0x04,,
7.252344,0xA1,,
7.252439,0x5A,,
7.252535,0xFF,,
7.259949,0x04,,
7.260045,0xA2,,
7.26014,0x59,,
7.260236,0xFF,,
7.260958,0x06,,
7.261054,0xA2,,
7.261149,0xFF,,
7.261245,0xFF,,
7.26134,0x59,,
7.261436,0xFD,,
7.267649,0x04,,
7.267744,0xA1,,
7.26784,0x5A,,
7.267936,0xFF,,
7.275351,0x04,,
7.275446,0xA2,,
7.275542,0x59,,
7.275637,0xFF,,
7.276358,0x06,,
7.276454,0xA2,,
7.276549,0xFF,,
7.276645,0xFF,,
7.27674,0x59,,
7.276836,0xFD,,
7.283051,0x04,,
7.283146,0xA1,,
7.283242,0x5A,,
7.283337,0xFF,,
7.290751,0x04,,
7.290847,0xA2,,
7.290943,0x59,,
7.291038,0xFF,,
7.291757,0x06,,
7.291853,0xA2,,
7.291948,0xFF,,
7.292044,0xFF,,
7.292139,0x59,,
7.292235,0xFD,,
7.298452,0x04,,
7.298548,0xA1,,
7.298643,0x5A,,
7.298739,0xFF,,
7.306153,0x04,,
7.306249,0xA2,,
7.306344,0x59,,
7.30644,0xFF,,
7.307162,0x06,,
7.307258,0xA2,,
7.307353,0xFF,,
7.307449,0xFF,,
7.307544,0x59,,
7.30764,0xFD,,
7.313854,0x04,,
7.31395,0xA1,,
7.314045,0x5A,,
7.314141,0xFF,,
7.321555,0x04,,
7.32165,0xA2,,
7.321746,0x59,,
7.321842,0xFF,,
7.32256,0x06,,
7.322655,0xA2,,
7.322751,0xFF,,
7.322846,0xFF,,
7.322942,0x59,,
7.323037,0xFD,,
7.329256,0x04,,
7.329351,0xA1,,
7.329447,0x5A,,
7.329542,0xFF,,
