Time [s],Value,Parity Error,Framing Error
0.49623,0xFD,,
0.502445,0x04,,
0.50254,0xA1,,
0.502636,0x5A,,
0.502732,0xFF,,
0.503449,0x06,,
0.503544,0xA1,,
0.503639,0x00,,
0.503734,0x00,,
0.503828,0x58,,
0.503923,0xFF,,
0.510146,0x04,,
0.510241,0xA2,,
0.510337,0x59,,
0.510432,0xFF,,
0.511154,0x06,,
0.511249,0xA2,,
0.511345,0xFF,,
0.51144,0xFF,,
0.511536,0x59,,
0.511631,0xFD,,
0.517846,0x04,,
0.517941,0xA1,,
0.518037,0x5A,,
0.518132,0xFF,,
0.518854,0x06,,
0.518949,0xA1,,
0.519044,0x00,,
0.519138,0x00,,
0.519233,0x58,,
0.519328,0xFF,,
0.525546,0x04,,
0.525642,0xA2,,
0.525738,0x59,,
0.525833,0xFF,,
0.526551,0x06,,
0.526647,0xA2,,
0.526742,0xFF,,
0.526838,0xFF,,
0.526933,0x59,,
0.527029,0xFD,,
0.533246,0x04,,
0.533342,0xA1,,
0.533437,0x5A,,
0.533533,0xFF,,
0.534246,0x06,,
0.534341,0xA1,,
0.534435,0x00,,
0.53453,0x00,,
0.534625,0x58,,
0.53472,0xFF,,
0.540947,0x04,,
0.541043,0xA2,,
0.541138,0x59,,
0.541234,0xFF,,
0.541956,0x06,,
0.542052,0xA2,,
0.542147,0xFF,,
0.542243,0xFF,,
0.542338,0x59,,
0.542434,0xFD,,
0.548648,0x04,,
0.548744,0xA1,,
0.548839,0x5A,,
0.548935,0xFF,,
0.549651,0x06,,
0.549746,0xA1,,
0.549841,0x00,,
0.549936,0x00,,
0.55003,0x58,,
0.550125,0xFF,,
0.556349,0x04,,
0.556444,0xA2,,
0.55654,0x59,,
0.556636,0xFF,,
0.557355,0x06,,
0.557451,0xA2,,
0.557546,0xFF,,
0.557642,0xFF,,
0.557737,0x59,,
0.557833,0xFD,,
0.56405,0x04,,
0.564145,0xA1,,
0.564241,0x5A,,
0.564336,0xFF,,
0.565049,0x06,,
0.565144,0xA1,,
0.565239,0x00,,
0.565334,0x00,,
0.565428,0x58,,
0.565523,0xFF,,
0.571751,0x04,,
0.571846,0xA2,,
0.571942,0x59,,
0.572037,0xFF,,
0.572763,0x06,,
0.572858,0xA2,,
0.572954,0xFF,,
0.573049,0xFF,,
0.573145,0x59,,
0.57324,0xFD,,
0.579451,0x04,,
0.579547,0xA1,,
0.579643,0x5A,,
0.579738,0xFF,,
0.580456,0x06,,
0.580551,0xA1,,
0.580645,0x00,,
0.58074,0x00,,
0.580835,0x58,,
0.58093,0xFF,,
0.587152,0x04,,
0.587248,0xA2,,
0.587343,0x59,,
0.587439,0xFF,,
0.588162,0x06,,
0.588257,0xA2,,
0.588353,0xFF,,
0.588448,0xFF,,
0.588544,0x59,,
0.588639,0xFD,,
0.594853,0x04,,
0.594949,0xA1,,
0.595044,0x5A,,
0.59514,0xFF,,
0.595854,0x06,,
0.595949,0xA1,,
0.596043,0x00,,
0.596138,0x00,,
0.596233,0x58,,
0.596328,0xFF,,
0.602554,0x04,,
0.60265,0xA2,,
0.602745,0x59,,
0.602841,0xFF,,
0.603559,0x06,,
0.603655,0xA2,,
