Time [s],Value,Parity Error,Framing Error
0.983258,0xA2,,
0.983353,0x59,,
0.983449,0xFF,,
0.984175,0x06,,
0.984271,0xA2,,
0.984366,0xFD,,
0.984462,0xFF,,
0.984557,0x5B,,
0.984653,0xFD,,
0.990863,0x04,,
0.990959,0xA1,,
0.991054,0x5A,,
0.99115,0xFF,,
0.998564,0x04,,
0.998659,0xA2,,
0.998755,0x59,,
0.998851,0xFF,,
0.999568,0x06,,
0.999664,0xA2,,
0.999759,0xFD,,
0.999855,0xFF,,
0.99995,0x5B,,
1.000046,0xFD,,
1.006265,0x04,,
1.00636,0xA1,,
1.006456,0x5A,,
1.006551,0xFF,,
1.013966,0x04,,
1.014061,0xA2,,
1.014157,0x59,,
1.014252,0xFF,,
1.014973,0x06,,
1.015069,0xA2,,
1.015164,0xFD,,
1.01526,0xFF,,
1.015355,0x5B,,
1.015451,0xFD,,
1.021666,0x04,,
1.021762,0xA1,,
1.021858,0x5A,,
1.021953,0xFF,,
1.029367,0x04,,
1.029463,0xA2,,
1.029558,0x59,,
1.029654,0xFF,,
1.030378,0x06,,
1.030474,0xA2,,
1.030569,0xFD,,
1.030665,0xFF,,
1.03076,0x5B,,
1.030856,0xFD,,
1.037068,0x04,,
1.037164,0xA1,,
1.037259,0x5A,,
1.037355,0xFF,,
1.044769,0x04,,
1.044865,0xA2,,
1.04496,0x59,,
1.045056,0xFF,,
1.045777,0x06,,
1.045872,0xA2,,
1.045968,0xFD,,
1.046063,0xFF,,
1.046159,0x5B,,
1.046254,0xFD,,
1.05247,0x04,,
1.052565,0xA1,,
1.052661,0x5A,,
1.052757,0xFF,,
1.060171,0x04,,
1.060266,0xA2,,
1.060362,0x59,,
1.060457,0xFF,,
1.061176,0x06,,
1.061271,0xA2,,
1.061367,0xFD,,
1.061462,0xFF,,
1.061558,0x5B,,
1.061654,0xFD,,
1.06787,0x04,,
1.067966,0xA1,,
1.068062,0x5A,,
1.068157,0xFF,,
1.075571,0x04,,
1.075667,0xA2,,
1.075762,0x59,,
1.075858,0xFF,,
1.076581,0x06,,
1.076677,0xA2,,
1.076772,0xFD,,
1.076868,0xFF,,
1.076963,0x5B,,
1.077059,0xFD,,
1.083273,0x04,,
1.083369,0xA1,,
1.083464,0x5A,,
1.08356,0xFF,,
1.090974,0x04,,
1.09107,0xA2,,
1.091165,0x59,,
1.091261,0xFF,,
1.09198,0x06,,
1.092076,0xA2,,
1.092171,0xFD,,
1.092267,0xFF,,
1.092362,0x5B,,
1.092458,0xFD,,
1.098674,0x04,,
1.098769,0xA1,,
1.098865,0x5A,,
1.098961,0xFF,,
1.106375,0x04,,
1.10647,0xA2,,
1.106566,0x59,,
1.106661,0xFF,,
1.107385,0x06,,
1.107481,0xA2,,
1.107576,0xFF,,
1.107672,0xFF,,
1.107767,0x59,,
1.107863,0xFD,,
1.114076,0x04,,
1.114171,0xA1,,
1.114267,0x5A,,
1.114362,0xFF,,
1.121776,0x04,,
1.121872,0xA2,,
1.121968,0x59,,
1.122063,0xFF,,
1.122785,0x06,,
1.122881,0xA2,,
1.122976,0xFF,,
1.123072,0xFF,,
1.123167,0x59,,
1.123263,0xFD,,
1.129477,0x04,,
1.129573,0xA1,,
1.129668,0x5A,,
1.129764,0xFF,,
1.137178,0x04,,
1.137274,0xA2,,
1.137369,0x59,,
1.137465,0xFF,,
1.138183,0x06,,
1.138278,0xA2,,
1.138374,0xFF,,
1.138469,0xFF,,
1.138565,0x59,,
1.13866,0xFD,,
1.144879,0x04,,
1.144975,0xA1,,
1.14507,0x5A,,
1.145166,0xFF,,
1.15258,0x04,,
1.152675,0xA2,,
1.152771,0x59,,
1.152867,0xFF,,
1.153588,0x06,,
1.153683,0xA2,,
1.153779,0xFF,,
1.153874,0xFF,,
1.15397,0x59,,
1.154065,0xFD,,
1.160281,0x04,,
1.160376,0xA1,,
1.160472,0x5A,,
1.160567,0xFF,,
1.167982,0x04,,
1.168077,0xA2,,
1.168173,0x59,,
1.168268,0xFF,,
1.168987,0x06,,
1.169082,0xA2,,
1.169178,0xFF,,
1.169273,0xFF,,
1.169369,0x59,,
1.169464,0xFD,,
1.175682,0x04,,
1.175778,0xA1,,
1.175874,0x5A,,
1.175969,0xFF,,
1.183383,0x04,,
1.183479,0xA2,,
1.183574,0x59,,
1.18367,0xFF,,
1.184388,0x06,,
1.184484,0xA2,,
1.184579,0xFF,,
1.184675,0xFF,,
1.18477,0x59,,
1.184866,0xFD,,
1.191084,0x04,,
1.19118,0xA1,,
1.191275,0x5A,,
1.191371,0xFF,,
1.198785,0x04,,
1.198881,0xA2,,
1.198976,0x59,,
1.199072,0xFF,,
1.199793,0x06,,
1.199889,0xA2,,
1.199984,0xFF,,
1.20008,0xFF,,
1.200176,0x59,,
1.200271,0xFD,,
1.206486,0x04,,
1.206581,0xA1,,
1.206677,0x5A,,
1.206773,0xFF,,
1.214186,0x04,,
1.214281,0xA2,,
1.214377,0x59,,
1.214472,0xFF,,
1.215191,0x06,,
1.215287,0xA2,,
1.215382,0xFF,,
1.215478,0xFF,,
1.215573,0x59,,
1.215669,0xFD,,
1.221888,0x04,,
1.221983,0xA1,,
1.222079,0x5A,,
1.222174,0xFF,,
1.229588,0x04,,
1.229684,0xA2,,
1.22978,0x59,,
1.229875,0xFF,,
1.230596,0x06,,
1.230692,0xA2,,
1.230787,0xFF,,
1.230883,0xFF,,
1.230978,0x59,,
1.231074,0xFD,,
1.237289,0x04,,
1.237385,0xA1,,
1.23748,0x5A,,
1.237576,0xFF,,
1.24499,0x04,,
1.245086,0xA2,,
1.245181,0x59,,
1.245277,0xFF,,
1.245996,0x06,,
1.246092,0xA2,,
1.246187,0xFF,,
1.246283,0xFF,,
1.246378,0x59,,
1.246474,0xFD,,
1.25269,0x04,,
1.252785,0xA1,,
1.252881,0x5A,,
1.252977,0xFF,,
1.260391,0x04,,
1.260486,0xA2,,
1.260582,0x59,,
1.260677,0xFF,,
1.261401,0x06,,
1.261497,0xA2,,
1.261592,0xFF,,
1.261688,0xFF,,
1.261783,0x59,,
1.261879,0xFD,,
1.268092,0x04,,
1.268187,0xA1,,
1.268283,0x5A,,
1.268378,0xFF,,
1.275792,0x04,,
1.275888,0xA2,,
1.275984,0x59,,
1.276079,0xFF,,
1.276799,0x06,,
1.276894,0xA2,,
1.27699,0xFF,,
1.277085,0xFF,,
1.277181,0x59,,
1.277276,0xFD,,
1.283493,0x04,,
1.283589,0xA1,,
1.283684,0x5A,,
1.28378,0xFF,,
1.291193,0x04,,
1.291289,0xA2,,
1.291384,0x59,,
1.29148,0xFF,,
1.292198,0x06,,
1.292293,0xA2,,
1.292389,0xFF,,
1.292484,0xFF,,
1.29258,0x59,,
1.292675,0xFD,,
1.298894,0x04,,
1.29899,0xA1,,
1.299085,0x5A,,
1.299181,0xFF,,
1.306595,0x04,,
1.30669,0xA2,,
1.306786,0x59,,
1.306882,0xFF,,
1.307599,0x06,,
1.307695,0xA2,,
1.30779,0xFF,,
1.307886,0xFF,,
1.307981,0x59,,
1.308077,0xFD,,
1.314296,0x04,,
1.314391,0xA1,,
1.314487,0x5A,,
1.314582,0xFF,,
1.321997,0x04,,
1.322092,0x83,,
1.322188,0x78,,
1.322283,0xFF,,
